epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/Difetto1,val/AP/Difetto2,val/AP/Difetto4,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
2,4449,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4487,,,,,,,,,,,,,,,,,,,,,,0.10466732084751129,0.1154523566365242,0.06535200029611588,0.2799912989139557,299.1241149902344,299.1239013671875,299.1241149902344,299.1241149902344,11.487770080566406,0.22006084024906158,0.1127564013004303,0.5881965756416321,9.887984275817871,0.12843415141105652,0.12957604229450226,0.1313023865222931,0.14877121150493622,1.1170878410339355,1.1317737102508545,1.119625449180603,1.0941139459609985,0.330878347158432,0.3330252170562744,0.33522599935531616,0.3683552145957947,0.19244155287742615,0.09515722095966339,0.08185204118490219,0.5628699064254761,0.2719976603984833,0.2895320653915405
2,4487,3899.09814453125,3899.049560546875,3899.0830078125,3899.100341796875,10.71554183959961,10.079240798950195,0.13934700191020966,0.141122505068779,0.1420588493347168,0.16481302678585052,1.1251907348632812,1.1486196517944336,1.1277923583984375,1.1181856393814087,0.3170349895954132,0.31917890906333923,0.32074281573295593,0.3544149100780487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4499,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4549,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4599,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4649,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4699,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4749,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4799,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
